SPs,Parent SP,Zone,Province Name,District Name,Facility Name (DHIS2),AIMS Site,FacilityID,Facility Type,Latitude,Longitude,Donor,Building,Concreate,Electricity Source,Safe Clean Water,Water Source,Gender Toilets,Waste Disposal System,hmis/dq/consultations/rep_consultations,hmis/dq/consultations/reg_consultations,hmis/dq/tb/rep_tb_sputum,hmis/dq/tb/reg_tb_sputum,hmis/dq/anc/rep_anc,hmis/dq/anc/reg_anc,hmis/dq/pcn/rep_pnc,hmis/dq/pcn/reg_pnc,hmis/dq/id/rep_instit_deliveries,hmis/dq/id/reg_instit_deliveries,hmis/dq/fp/rep_fp,hmis/dq/fp/reg_fp,hmis/dq/caesarean/rep_caesarean,hmis/dq/caesarean/reg_caesarean,hmis/dq/ms/rep_major_surgeries,hmis/dq/ms/reg_major_surgeries,hmis/dq/gmp_iycf/rep_gmp_iycf,hmis/dq/gmp_iycf/reg_gmp_iycf,hmis/dq/penta/rep_penta,hmis/dq/penta/reg_penta,hmis/dq/measles/rep_measles,hmis/dq/measles/reg_measles,hmis/dq/td2/rep_td2,hmis/dq/td2/reg_td2,hmis/newborn_deaths/rep_newborn_deaths,hmis/newborn_deaths/reg_newborn_deaths,hmis/newborn_deaths/reg_newborn_asphyxia,hmis/newborn_deaths/reg_newborn_preterm,hmis/newborn_deaths/reg_newborn_sepsis,hmis/newborn_deaths/reg_newborn_other,hmis/still_births/rep_still_births,hmis/still_births/reg_still_births,hmis/still_births/rep_still_births_fresh,hmis/still_births/reg_still_births_fresh,hmis/still_births/rep_still_births_macerated,hmis/still_births/reg_still_births_macerated
AKF,AKF,Northern,Badakhshan,Arghanjowa,Tagabuk Clinic (1563),HF1563 - Tagabuk Clinic,1563,BHC,37.1684906,70.7840769,HER-AF,MoPH,Yes,Solar,Complete,Network,Staff_Clients,Yes,371,371,0,0,110,110,38,38,8,8,9,9,,,,,149,149,31,31,20,20,61,61,0,0,0,0,0,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Arghanjowa,Tagabuk Clinic (1563),HF1563 - Tagabuk Clinic,1563,BHC,37.1684906,70.7840769,HER-AF,MoPH,Yes,Solar,Complete,Network,Staff_Clients,Yes,313,313,0,0,133,133,25,25,11,11,6,6,,,,,260,260,26,26,22,22,45,45,0,0,0,0,0,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Arghanjowa,Shiwa Clinic (2064),HF2064 - Shiwa Clinic,2064,BHC,37.309128,70.92845,HER-AF,MoPH,Yes,Solar,Partially,Network,Staff_Clients,Yes,247,247,0,0,147,147,59,59,8,8,25,25,,,,,205,205,27,27,28,28,49,49,0,0,0,0,0,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Arghanjowa,Sam Darah SHC (2879),HF2879 - Sam Darah SHC,2879,SHC,37.23852485,70.696152,HER-AF,MoPH,Yes,Solar,Complete,Well,Staff_Clients,Yes,378,378,,,98,98,52,52,5,5,10,10,,,,,138,138,18,18,20,20,49,49,0,0,0,0,,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Arghanjowa,Sam Darah SHC (2879),HF2879 - Sam Darah SHC,2879,SHC,37.23852485,70.696152,HER-AF,MoPH,Yes,Solar,Complete,Network,Staff_Clients,Yes,212,215,,,67,67,31,31,11,11,34,34,,,,,245,245,19,19,16,16,54,54,0,0,0,0,,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Arghanjowa,Dawlat Shahi SHC (2985),HF2985 - Dawlat Shahi SHC,2985,SHC,37.650289,71.038469,HER-AF,Community,No,Solar,Partially,Network,,Yes,147,147,,,0,0,0,0,0,0,0,0,,,,,200,200,14,14,19,19,30,30,0,0,0,0,,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Argo,Shatak Clinic (0401),HF0401 - Shatak Clinic,401,CHC,37.09202505,70.34072835,HER-AF,MoPH,Yes,Solar Generator,Complete,Network,Staff_Clients,Yes,746,746,0,0,262,262,106,106,51,51,13,13,0,0,0,0,257,257,72,72,78,78,140,140,0,0,0,0,0,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Argo,Shatak Clinic (0401),HF0401 - Shatak Clinic,401,CHC,37.09202505,70.34072835,HER-AF,MoPH,Yes,Solar,Complete,Network,Staff_Clients,Yes,425,425,1,1,312,312,188,188,23,23,14,14,0,0,0,0,234,234,63,63,42,42,185,185,0,0,0,0,0,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Argo,Shatak Clinic (0401),HF0401 - Shatak Clinic,401,CHC,37.09202505,70.34072835,HER-AF,MoPH,Yes,Solar,Complete,Network,Staff,Yes,766,766,2,2,349,349,117,117,56,56,19,19,0,0,0,0,315,315,127,127,114,114,185,185,0,0,0,0,0,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Argo,Atin Jelaw Clinic (1857),HF1857 - Atin Jelaw Clinic,1857,BHC,37.08778685,70.34804775,HER-AF,Community,Yes,Cable Solar,Complete,Network,Staff,Yes,379,379,0,0,180,180,100,100,15,15,27,27,,,,,395,395,88,88,90,90,219,219,0,0,0,0,0,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Argo,Atin Jelaw Clinic (1857),HF1857 - Atin Jelaw Clinic,1857,BHC,37.08778685,70.34804775,HER-AF,MoPH,Yes,Solar,Complete,Network,Staff,Yes,348,348,0,0,230,230,110,110,17,17,26,26,,,,,360,360,86,86,83,83,234,234,0,0,0,0,0,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Argo,Qara-e-Qoozi Clinic (1981),HF1981 - Qara-e-Qoozi Clinic,1981,BHC,37.16631063,70.5171344,HER-AF,MoPH,Yes,Solar Generator,Complete,Network,Staff,Yes,608,608,0,0,276,276,69,69,10,10,16,16,,,,,462,462,74,74,77,74,247,247,0,6,0,0,0,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Argo,Qara-e-Qoozi Clinic (1981),HF1981 - Qara-e-Qoozi Clinic,1981,BHC,37.16631063,70.5171344,HER-AF,MoPH,Yes,Solar,Complete,Well,,Yes,530,530,0,0,276,276,69,69,10,10,16,16,,,,,462,462,74,74,77,77,247,247,0,0,0,0,0,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Argo,Qara-e-Qoozi Clinic (1981),HF1981 - Qara-e-Qoozi Clinic,1981,BHC,37.16631063,70.5171344,HER-AF,MoPH,Yes,Solar Generator,Complete,Network,Staff_Clients,Yes,557,557,0,0,222,222,82,82,13,13,18,18,,,,,338,338,82,82,53,53,162,162,0,0,0,0,8,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Argo,Qara-e-Qoozi Clinic (1981),HF1981 - Qara-e-Qoozi Clinic,1981,BHC,37.16631063,70.5171344,HER-AF,MoPH,Yes,Solar Cable,Complete,Network,Staff,Yes,648,648,0,0,346,346,84,84,9,9,17,17,,,,,408,408,78,78,78,78,177,177,0,0,0,0,0,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Argo,Hafez Moghol Argo Clinic (2144),HF2144 - Hafez Moghol Argo Clinic,2144,BHC,37.0530099,70.41371985,HER-AF,MoPH,Yes,Generator Solar,Complete,Network,Staff_Clients,Yes,475,475,0,0,503,503,244,244,91,91,45,45,,,,,533,533,142,142,72,72,226,226,0,0,0,0,0,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Argo,Hafez Moghol Argo Clinic (2144),HF2144 - Hafez Moghol Argo Clinic,2144,BHC,37.0530099,70.41371985,HER-AF,MoPH,Yes,Cable Solar,Complete,Network,Staff,Yes,493,493,0,0,610,610,246,246,43,43,38,38,,,,,500,500,194,194,138,138,329,329,0,0,0,0,0,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Argo,Espingul SC (4282),HF4282 - Espingul SC,4282,SHC,36.9997331,70.6367589,HER-AF,Private,No,Cable,Unavailable,,,Yes,151,151,,,52,52,17,17,5,5,4,4,,,,,188,188,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Argo,Espingul SC (4282),HF4282 - Espingul SC,4282,SHC,36.9997331,70.6367589,HER-AF,Private,Yes,Solar,Complete,Network,Staff_Clients,Yes,227,227,,,120,120,67,67,11,11,12,12,,,,,187,187,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Argo,Espingul SC (4282),HF4282 - Espingul SC,4282,SHC,36.9997331,70.6367589,HER-AF,MoPH,Yes,Cable,Unavailable,,Staff,Yes,207,207,,,73,73,14,14,3,3,4,4,,,,,191,191,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
AKF,AKF,Northern,Badakhshan,Baharak,Baharak District Hospital (1167),HF1167 - Baharak District Hospital,1167,DH,37.0056728,70.9043966,HER-AF,MoPH,Yes,Cable Solar Generator,Complete,Network,Staff,Yes,2467,2467,6,6,822,822,349,349,248,248,162,162,12,12,24,24,629,629,249,249,235,235,266,266,2,2,0,8,0,0,6,6,2,2,0,0
