SPs,Parent SP,Zone,Province Name,District Name,AIMS Location,Facility Name (DHIS2),AIMS Site,FacilityID,Facility Type,Latitude,Longitude,Implementing Partner,Donor
AKF,AKF,Northern,Badakhshan,Arghanjowa,"Badakhshan, Arghanj Khwah\??????? ?????????",Tagabuk Clinic (1563),HF1563 - Tagabuk Clinic,1563,BHC,37.1684906,70.7840769,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Arghanjowa,"Badakhshan, Arghanj Khwah\??????? ?????????",Shiwa Clinic (2064),HF2064 - Shiwa Clinic,2064,BHC,37.309128,70.92845,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Arghanjowa,"Badakhshan, Arghanj Khwah\??????? ?????????",Sam Darah SHC (2879),HF2879 - Sam Darah SHC,2879,SHC,37.23852485,70.696152,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Arghanjowa,"Badakhshan, Arghanj Khwah\??????? ?????????",Dawlat Shahi SHC (2985),HF2985 - Dawlat Shahi SHC,2985,SHC,37.650289,71.038469,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Argo,"Badakhshan, Argo\??????? ????",Shatak Clinic (0401),HF0401 - Shatak Clinic,401,CHC,37.09202505,70.34072835,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Argo,"Badakhshan, Argo\??????? ????",Atin Jelaw Clinic (1857),HF1857 - Atin Jelaw Clinic,1857,BHC,37.08778685,70.34804775,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Argo,"Badakhshan, Argo\??????? ????",Qara-e-Qoozi Clinic (1981),HF1981 - Qara-e-Qoozi Clinic,1981,BHC,37.16631063,70.5171344,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Argo,"Badakhshan, Argo\??????? ????",Hafez Moghol Argo Clinic (2144),HF2144 - Hafez Moghol Argo Clinic,2144,BHC,37.0530099,70.41371985,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Argo,"Badakhshan, Argo\??????? ????",Espingul SC (4282),HF4282 - Espingul SC,4282,SHC,36.9997331,70.6367589,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Baharak,"Badakhshan, Baharak\??????? ?????",Baharak District Hospital (1167),HF1167 - Baharak District Hospital,1167,DH,37.0056728,70.9043966,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Baharak,"Badakhshan, Baharak\??????? ?????",Arian SC (4264),HF4264 - Arian SC,4264,SHC,37.133655,70.809615,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Darayem,"Badakhshan, Darayem\??????? ?????",Shahre-e-Safa Clinic (0406),HF0406 - Shahre-e-Safa Clinic,406,CHC,36.9168362,70.3607903,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Darayem,"Badakhshan, Darayem\??????? ?????",Manji Ha SHC (2584),HF2584 - Manji Ha SHC,2584,SHC,36.818046,70.560529,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Darayem,"Badakhshan, Darayem\??????? ?????",Yamchyan SHC (2878),HF2878 - Yamchyan SHC,2878,SHC,36.8394579,70.4396029,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Darayem,"Badakhshan, Darayem\??????? ?????",Khas Pack SHC (3017),HF3017 - Khas Pack SHC,3017,SHC,36.9218943,70.4388631,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Darayem,"Badakhshan, Darayem\??????? ?????",Shahr-e-Saadat SHC (3053),HF3053 - Shahr-e-Saadat SHC,3053,SHC,37.002998,70.270691,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Darayem,"Badakhshan, Darayem\??????? ?????",Doaba SC (4281),HF4281 - Doaba SC,4281,SHC,36.8614446,70.4154351,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Darwaz-e-Bala (Mahemay),"Badakhshan, Darwaz-e-Balla\??????? ????????? ( ????)",Mahemay Clinic (1565),HF1565 - Mahemay Clinic,1565,BHC,38.40593,71.04903,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Darwaz-e-Bala (Mahemay),"Badakhshan, Darwaz-e-Balla\??????? ????????? ( ????)",Jamroj Bala Clinic (2174),HF2174 - Jamroj Bala Clinic,2174,BHC,38.27743,71.32954,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Darwaz-e-Bala (Mahemay),"Badakhshan, Darwaz-e-Balla\??????? ????????? ( ????)",Tangsheyo SHC (2570),HF2570 - Tangsheyo SHC,2570,SHC,37.954674,71.199906,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Darwaz-e-Bala (Mahemay),"Badakhshan, Darwaz-e-Balla\??????? ????????? ( ????)",Robat SC (4270),HF4270 - Robat SC,4270,SHC,38.311922,71.28227,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Darwaz-e-Payen (Nusai),"Badakhshan, Darwaz-e-Payin\??????? ????? ????? (?? ?? )",Nusai CHC+ (1567),HF1567 - Nusai CHC+,1567,CHC+,38.44834,70.79277,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Darwaz-e-Payen (Nusai),"Badakhshan, Darwaz-e-Payin\??????? ????? ????? (?? ?? )",Joy Dara SHC (2325),HF2325 - Joy Dara SHC,2325,SHC,38.28316,70.827225,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Darwaz-e-Payen (Nusai),"Badakhshan, Darwaz-e-Payin\??????? ????? ????? (?? ?? )",Khorkad SC (4268),HF4268 - Khorkad SC,4268,SHC,38.272935,70.927873,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Eshkashem,"Badakhshan, Eshkashem\??????? ??????",Eshkashem CHC+ (0417),HF0417 - Eshkashem CHC+,417,CHC+,36.7040234,71.5660465,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Eshkashem,"Badakhshan, Eshkashem\??????? ??????",Gharan SC (2568),HF2568 - Gharan SC,2568,SHC,37.216271,71.4558831,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Fayzabad (Badakhshan),"Badakhshan, Fayzabad\??????? ??? ????",Ustad Burhanuddin Rabani Shaheed Hospital (0403),HF0403 - Ustad Burhanuddin Rabani Shaheed Hospital,403,PH,37.1146923,70.5672098,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Fayzabad (Badakhshan),"Badakhshan, Fayzabad\??????? ??? ????",Langar Clinic (1561),HF1561 - Langar Clinic,1561,BHC,37.2608615,70.6017988,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Fayzabad (Badakhshan),"Badakhshan, Fayzabad\??????? ??? ????",Gazan Clinic (1978),HF1978 - Gazan Clinic,1978,BHC,37.154148,70.63407,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Fayzabad (Badakhshan),"Badakhshan, Fayzabad\??????? ??? ????",Layaba Clinic (1979),HF1979 - Layaba Clinic,1979,BHC,36.92497997,68.81759618,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Fayzabad (Badakhshan),"Badakhshan, Fayzabad\??????? ??? ????",Nahiya-e-Se Clinic (1980),HF1980 - Nahiya-e-Se Clinic,1980,BHC,37.10633495,70.5872659,#REF!,HER-AF
AKF,AKF,Northern,Badakhshan,Fayzabad (Badakhshan),"Badakhshan, Fayzabad\??????? ??? ????",Talbuzank Clinic (1987),HF1987 - Talbuzank Clinic,1987,BHC,37.215057,70.553222,#REF!,HER-AF
